session,user,stage,start,end,side,filename,moving_hand,held_out_user,held_out_stage,split,generalization,channel00_mean,channel00_std,channel01_mean,channel01_std,channel02_mean,channel02_std,channel03_mean,channel03_std,channel04_mean,channel04_std,channel05_mean,channel05_std,channel06_mean,channel06_std,channel07_mean,channel07_std,channel08_mean,channel08_std,channel09_mean,channel09_std,channel10_mean,channel10_std,channel11_mean,channel11_std,channel12_mean,channel12_std,channel13_mean,channel13_std,channel14_mean,channel14_std,channel15_mean,channel15_std
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,0.05,1.1825,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,0.013792153,5.341144,0.0065631843,4.242416,0.0057785125,4.6961665,0.00654616,7.3820276,0.005994027,13.334678,0.0035196948,8.346182,0.0050372384,4.32014,-0.01608943,4.753735,-0.014152902,6.5426483,-0.011098726,5.3736176,-0.003431182,4.3088813,-0.005577776,4.476062,-0.00047577612,4.325833,-0.013215167,3.7798362,-0.0053587793,3.6131,0.004515245,6.4423027
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,1.7665,1.9995,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,0.38348427,119.85716,0.88091993,302.84625,0.58309126,196.5567,0.12752035,61.563644,0.109889545,24.497015,0.067555115,19.431702,0.11928447,16.3962,0.028877854,23.335993,0.058711853,34.19429,0.38457593,45.85421,0.65539074,101.75126,1.0557772,96.82048,0.4712369,88.59567,0.26502937,129.36073,0.35928473,92.68648,0.3556183,42.53177
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,2.0165,2.983,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,0.008439945,43.09084,0.0643257,86.17456,0.066816166,46.930573,0.047310393,21.25657,0.049689703,24.843973,0.05960656,16.254993,0.053950664,10.646999,0.020331139,16.073246,0.0068628415,22.18508,-0.00078699394,24.346058,-0.104162365,39.055775,-0.16260262,42.644997,-0.21149552,42.265472,-0.1754737,60.520668,-0.08179407,46.056038,-0.0910861,30.260916
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,3.2335,4.2995,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,-0.11748475,75.84553,-0.18767567,157.17006,-0.2916295,109.40535,-0.056557104,36.604137,0.026528131,31.812693,0.024650596,17.75562,0.044556536,11.15016,0.054104015,15.163624,0.060943067,19.46018,0.08774356,20.61333,0.11219871,35.33071,-0.22731467,33.08239,-0.02063943,31.729263,-0.3278343,39.635803,-0.17355146,25.999903,-0.03468482,20.27332
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,4.617,4.833,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,-0.24069265,121.086624,-0.46692812,268.94708,-0.45737973,198.47337,-0.3405699,68.7143,-0.05488151,38.764324,-0.028762884,24.320765,0.010353656,19.619316,-0.019942947,29.6645,0.089268535,41.296227,0.09353023,56.319374,0.40089077,105.85689,0.25881368,110.22852,-0.027516594,101.248055,0.07971887,106.69092,0.08020559,76.13528,0.23502249,46.600727
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,4.8835,5.4165,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,0.14587753,58.8618,0.18349326,132.38858,0.16432351,108.96138,0.039244153,41.438805,-0.004989691,25.733555,-0.019212,16.02775,-0.046840683,11.741502,-0.06154262,18.914585,-0.09659478,25.853256,-0.14693922,30.751535,-0.30862272,60.008045,-0.47488245,61.92487,-0.28369668,55.070362,-0.2559983,72.506256,-0.09685308,48.53337,0.049567904,29.264507
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,5.617,6.4995,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,-0.035506018,74.02784,-0.0058205733,151.74107,0.009015296,90.29503,0.013142261,35.53017,0.014567074,40.736324,0.020767726,21.38528,0.013806565,12.701566,-0.033015523,17.6099,-0.056761637,23.61193,-0.035005737,25.535048,-0.015518094,41.63861,0.0022891664,34.861603,0.0993481,34.577385,0.07018726,42.606716,0.0008062822,26.668934,0.020904243,20.643574
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,6.717,7.483,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,0.027160779,65.12174,0.040737793,137.44492,0.03251954,80.101715,0.020872355,31.305044,0.008923117,27.159859,0.0013233202,17.601477,-0.002202319,12.048515,0.020471932,16.492798,0.020070322,23.355984,0.014338478,33.721436,0.0045277006,61.85489,-0.025882198,50.848145,-0.14439331,48.18656,-0.24415854,71.204926,-0.13888738,51.271194,-0.05773228,33.297157
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,7.5005,8.3665,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,0.0010438692,64.19337,0.011858812,144.61642,0.013434548,99.798256,-0.005462713,36.49451,0.0045651607,26.389013,0.004026937,18.594795,0.00029121846,13.331331,0.012286499,22.771353,-0.00575938,31.968307,-0.018963704,38.83054,-0.022883536,77.78754,-0.018574435,80.22928,-0.081075124,67.71897,0.059346694,90.578575,0.13080178,62.545986,0.070841566,36.68271
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,8.4335,8.65,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,0.04475187,11.730568,0.031596165,6.111064,0.026305128,4.5047574,0.011610498,5.8672566,-0.102639936,11.646617,-0.053907633,10.692306,-0.0077374172,7.2624583,0.11616531,13.826834,0.11947339,20.050083,0.15663628,13.410665,0.1088636,9.760499,0.072538346,11.679569,0.014061763,14.174391,-0.031877093,13.867426,-0.06373707,10.413172,-0.028190322,14.291281
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,8.667,8.733,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,0.9437456,9.378216,0.49080116,6.1763477,0.281808,7.772016,-0.25090525,14.105172,-1.3893696,30.824574,-0.81358415,15.121482,-0.27164674,7.646708,0.61337715,13.374652,1.0357165,17.236855,0.43982476,12.189941,-0.020095203,9.209932,-0.309756,9.007206,-0.584966,8.450998,-0.5377129,7.831986,-0.23330547,7.156632,-0.047633495,12.29764
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,8.7505,8.8165,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,-0.0011950984,10.034332,-0.034767617,6.877006,-0.12170767,8.385079,-0.2479129,16.778572,-0.1812903,36.18385,0.12682469,19.325317,0.0017268297,8.336765,0.0715502,11.762728,-0.01650436,15.768167,-0.09425608,11.282234,-0.40474442,7.0924683,-0.082279876,6.8698606,-0.042120475,6.957539,-0.16549887,7.9229593,-0.17207846,6.8462667,0.059040345,10.238215
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,9.3505,9.6,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,0.070999555,141.58612,0.12889051,285.3633,0.14887103,190.50693,0.17601034,63.968437,0.17239852,36.816307,0.15927811,25.592875,0.18541606,20.375212,0.1265107,29.178278,0.13473174,38.83477,0.5019879,50.125954,0.9200507,93.06783,1.1049733,90.89804,0.52564716,90.02112,-0.12062698,112.585625,-0.031417113,77.0682,-0.018351462,50.337646
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,9.617,9.65,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,-0.7172447,12.522288,-0.22320552,6.9720726,0.013780832,5.1269927,0.38276604,5.1111455,0.62328035,8.6426525,0.9933244,11.488038,0.8026204,11.2104435,0.33338794,20.004053,-0.18115944,33.515644,-0.44304705,37.0983,0.44448495,55.86918,2.0959027,72.97156,0.5583584,48.15683,0.9501206,26.813955,1.6076275,25.975988,1.080466,18.536674
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,9.734,10.6335,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,-0.034898896,46.626575,-0.033355404,119.101776,-0.034312014,85.02762,-0.04274885,31.534355,-0.03919398,16.527096,-0.044588283,14.148489,-0.04369312,12.6341715,-0.051045954,19.324612,-0.053936344,26.192486,-0.052878983,35.330338,-0.093628556,76.21875,-0.18467331,75.826485,-0.20868506,55.83862,-0.09814823,74.00715,-0.055675834,51.511673,0.034538265,30.448269
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,10.734,10.8835,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,-0.031192282,8.625868,-0.019240906,4.3511186,0.013072782,2.7549038,-0.013714631,3.171717,-0.014314907,6.2887397,0.03498032,6.667528,0.00919407,5.524562,0.03243826,12.927233,-0.027499106,18.412401,-0.04527013,12.890176,0.030755365,9.771323,0.07463289,10.945596,-0.012280889,11.006561,0.053265143,9.888793,-0.0031284727,7.505342,-0.24586658,10.435509
2022-12-06-1670313600-e3096-cv-emg-pose-train@2,d387095792,TwoHandedFreeStyle,10.934,10.9665,right,2022-12-06-1670313600-e3096-cv-emg-pose-train@2-recording-13_right,both,True,False,val,user,-0.063380115,8.137937,0.17293517,5.477518,0.43624753,4.9447117,0.79041165,5.04367,0.5651085,8.97097,0.7663287,9.629171,0.527792,7.3811555,0.3371903,10.745781,0.38077426,14.380421,0.36090183,10.168579,0.5444827,9.087961,0.80789834,9.343188,0.98812526,10.345149,0.60733163,10.582714,0.3767512,9.301631,0.31101832,8.5347185
